section,bucket,group_A,group_B
Aster,0,0,0
Aster,1,97,30
Aster,2,400,60
Aster,3,563,190
Aster,4,292,90
Aster,5,307,40
Aster,6,266,50
Aster,7,533,150
Aster,8,745,80
Aster,9,503,90
Aster,10,431,80
Aster,11,317,70
Aster,12,366,60
Aster,13,521,50
Aster,14,425,50
Aster,15,403,50
Aster,16,329,40
Aster,17,354,130
Aster,18,533,80
Aster,19,325,60
Aster,20,330,30
Aster,21,298,30
Aster,22,231,60
Aster,23,316,100
Aster,24,255,60
Aster,25,241,60
Aster,26,162,30
Aster,27,249,90
Aster,28,250,50
Aster,29,165,20
Aster,30,176,80
Aster,31,112,10
Aster,32,182,50
Aster,33,120,50
Aster,34,127,10
Aster,35,136,20
Aster,36,197,60
Aster,37,168,60
Aster,38,74,0
Aster,39,118,20
Aster,40,122,20
Aster,41,112,20
Aster,42,167,140
Aster,43,45,10
Aster,44,77,30
Aster,45,140,10
Aster,46,193,20
Aster,47,49,0
Aster,48,64,20
Aster,49,32,0
Aster,50,75,10
Aster,51,60,0
Aster,52,28,10
Aster,53,56,0
Aster,54,136,10
Aster,55,95,50
Aster,56,38,0
Aster,57,46,20
Aster,58,23,0
Aster,59,25,0
Aster,60,66,0
Aster,61,27,10
Aster,62,31,0
Aster,63,38,0
Aster,64,69,30
Aster,65,30,0
Aster,66,43,0
Aster,67,11,10
Aster,68,24,0
Aster,69,22,0
Aster,70,32,20
Aster,71,17,0
Aster,72,37,20
Aster,73,60,0
Aster,74,15,10
Aster,75,16,0
Aster,76,17,0
Aster,77,17,0
Aster,78,11,0
Aster,79,10,10
Aster,80,14,0
Aster,81,44,20
Aster,82,11,10
Aster,83,11,0
Aster,84,16,20
Aster,85,6,0
Aster,86,5,0
Aster,87,9,10
Aster,88,13,0
Aster,89,10,0
Aster,90,52,0
Aster,91,15,0
Aster,92,58,0
Aster,93,13,0
Aster,94,9,0
Aster,95,9,20
Aster,96,13,0
Aster,97,6,0
Aster,98,5,0
Aster,99,20,0
Aster,100,16,0
Aster,101,12,0
Aster,102,17,0
Aster,103,4,10
Aster,104,2,0
Aster,105,8,0
Aster,106,8,0
Aster,107,8,0
Aster,108,16,0
Aster,109,7,0
Aster,110,3,0
Aster,111,19,0
Aster,112,8,0
Aster,113,6,0
Aster,114,6,0
Aster,115,12,10
Aster,116,4,10
Aster,117,12,0
Aster,118,3,0
Aster,119,3,10
Aster,120,19,20
Aster,121,7,0
Aster,122,3,0
Aster,123,1,0
Aster,124,13,0
Aster,125,7,0
Aster,126,6,10
Aster,127,6,0
Aster,128,10,0
